,Brand Name,Name of the Product,Price,Return/Exchange,Expected Delivery,Availability,Product URL
10,Epiphone,"Les Paul SL 6 Strings Right Handed Electric Guitar, Color Vintage Sunburst","₹12,999",7 Days Replacement,"FREE delivery: Wednesday, June 1 Details",In Stock,https://www.amazon.in/Epiphone-ENOLVSCH1-Electric-Guitars-Sunburst/dp/B075BTXVDJ/ref=sxin_13?asc_contentid=amzn1.osa.1320a493-71c5-4ff9-a1fa-1353eba85472.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.1320a493-71c5-4ff9-a1fa-1353eba85472.A21TJRUUN4KGV.en_IN&creativeASIN=B075BTXVDJ&cv_ct_cx=guitar&cv_ct_id=amzn1.osa.1320a493-71c5-4ff9-a1fa-1353eba85472.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&keywords=guitar&linkCode=oas&pd_rd_i=B075BTXVDJ&pd_rd_r=dc696e1c-8e8a-4c52-9aa6-00c242d32ec0&pd_rd_w=4gyMC&pd_rd_wg=MGOXy&pf_rd_p=f50b8836-bf86-46c0-a999-ee1dda2b7d1f&pf_rd_r=MC1JDC7GH3AAW31PSSXJ&qid=1653325526&sr=1-4-61f4c597-7a45-4a97-bd75-c52903f8ee93&tag=hznew-21
11,Intern,38C Cutaway Design Black Acoustic Guitar with Picks & Carry Bag,"₹3,009",7 Days Replacement,"FREE delivery: Friday, May 27 Details",In Stock,https://www.amazon.in/Intern-38-inch-Cutaway-Design-Acoustic/dp/B07X4PN85R/ref=sr_1_8?keywords=guitar&qid=1653325526&sr=8-8
12,Intern,"INT-38C Acoustic Guitar Kit, With Bag, Strings, Pick And Strap, Blue","₹3,029",7 Days Replacement,"FREE delivery: Monday, May 30 Details",In Stock,https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Blue/dp/B073B5RZBV/ref=sr_1_9?keywords=guitar&qid=1653325526&sr=8-9
13,Medellin,"38"" Acoustic Guitar Carbon Fiber body+(Free Online Learning Course) - Durable Matt finish with handrest, strings, strap, bag, 3 Picks, capo, stand.","₹2,199",7 Days Replacement,"FREE delivery: Monday, May 30 Details",In Stock,https://www.amazon.in/Medellin-Acoustic-Guitar-Carbon-Learning/dp/B09MSFP7JK/ref=sr_1_10?keywords=guitar&qid=1653325526&sr=8-10
14,Kadence,"Frontier guitar with Online Guitar learning course, Wine Red Acoustic Guitar with Die Cast Keys, Set of Strings, Strap, Picks and Bag (Wine Red, Acoustic)","₹5,399.00",7 Days Replacement,"FREE delivery: Saturday, May 28 Details",In Stock,https://www.amazon.in/Kadence-Frontier-Acoustic-Guitar-Strings/dp/B01GDZ46AA/ref=sr_1_11?keywords=guitar&qid=1653325526&smid=AM04Z7MH4HSDD&sr=8-11
15,Medellin,"38"" Carbon Fiber Acoustic Guitar with free specailized learning course- MDCF38BK Durable Carbon Fiber Matt Sunburst finish Body for beginners with handrest, set of Strings, Strap, Bag, 3 Picks, Capo, Guitar Wall Hanging Stand and Free GUITAR LEARNING COURSE (Special Learning Combo with Guitar)","₹2,199",7 Days Replacement,"FREE delivery: Monday, May 30 Details",In Stock,https://www.amazon.in/Medellin-Acoustic-specailized-learning-beginners/dp/B09MSGN39M/ref=sr_1_12?keywords=guitar&qid=1653325526&sr=8-12
16,Intern,"INT-38C Acoustic Guitar Kit (Sunburst) with Carry bag, Picks, Strings set and Guitar Strap, Small","₹2,350",7 Days Replacement,FREE delivery: May 25 - 27 Details,In Stock,https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Sunburst/dp/B073B5MJRM/ref=sr_1_13?keywords=guitar&qid=1653325526&sr=8-13
17,JUAREZ,"JRZ38C Right Handed Acoustic Guitar with Bag, Strings, Pick and Strap (Natural, 6 Strings)","₹2,639",7 Days Replacement,"FREE delivery: Saturday, May 28 Details",In Stock,https://www.amazon.in/JUAREZ-JRZ38C-Acoustic-Natural-Strings/dp/B01FYYTDWC/ref=sr_1_14?keywords=guitar&qid=1653325526&sr=8-14
18,Intern,"INT-38C-BK-G Cutaway Right Handed Acoustic Guitar Kit, With Bag, Strings, Pick And Strap (Black, 6 Strings)","₹2,290",7 Days Replacement,FREE delivery: May 25 - 27 Details,In Stock,https://www.amazon.in/Intern-INT-38C-BK-G-Guitar-Kit-Black/dp/B07K9497RC/ref=sr_1_15?keywords=guitar&qid=1653325526&sr=8-15
19,Medellin,"38"" Acoustic Guitar Black Carbon Fiber body+(Free Online Learning Course) - Durable Matt finish with handrest, strings, strap, bag, 3 Picks, capo, stand.","₹2,499",7 Days Replacement,"FREE delivery: Monday, May 30 Details",In Stock,https://www.amazon.in/Medellin-Acoustic-Guitar-Carbon-Learning/dp/B09MSGQQWX/ref=sr_1_16?keywords=guitar&qid=1653325526&sr=8-16
20,Hovner,"215 Black F-Cut Rosewood Fretboard Acoustic Guitar With Bag,Strap,1 Set of Extra Strings and 2 Picks By K-Retail","₹4,280",7 Days Replacement,"FREE delivery: Monday, May 30 Details",In Stock,https://www.amazon.in/Rosewood-Fretboard-Acoustic-Strings-K-Retail/dp/B07KLG8C4P/ref=sr_1_17?keywords=guitar&qid=1653325526&sr=8-17
21,Photron,"Acoustic Guitar, 38 Inch Cutaway, PH38C/BK with Picks Only, Black (Without Bag, Strap and Extra Strings)","₹1,990",7 Days Replacement,FREE delivery: May 28 - 31 Details,In Stock,https://www.amazon.in/Photron-Acoustic-Cutaway-PH38C-BK/dp/B076T8V8NB/ref=sr_1_18?keywords=guitar&qid=1653325526&sr=8-18
22,Juarez,"JRZ-ST01 6-String Electric Guitar, Right Handed, Full Black, with Case/Bag and Picks","₹5,739",7 Days Replacement,"FREE delivery: Sunday, May 29 Details",In Stock,https://www.amazon.in/Juarez-JRZ-ST01-6-String-Electric-Without/dp/B01FYZSOGM/ref=sr_1_19?keywords=guitar&qid=1653325526&sr=8-19
23,Juarez,"Acoustic Guitar Kit, 38 Inch Cutaway, 38C with Bag, Strings, Pick and Strap, 3TS Sunburst","₹2,639",7 Days Replacement,"FREE delivery: Saturday, May 28 Details",In Stock,https://www.amazon.in/JUAREZ-JRZ38C-Acoustic-Sunburst-Strings/dp/B01FYYTDTU/ref=sr_1_20?keywords=guitar&qid=1653325526&sr=8-20
24,Blueberry,"D38 Trussrod Acoustic Guitar Kit with Bag,Belt, String set & Picks inbuilt (Blue)","₹2,895",7 Days Replacement,"FREE delivery: Saturday, May 28 Details",In Stock,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00516253B233U4XIDVQM&url=%2FBlueberry-Acoustic-Guitar-inbuilt-Truss-rod%2Fdp%2FB08T8HW3K7%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dguitar%26qid%3D1653325526%26sr%3D8-21-spons%26psc%3D1&qualifier=1653325526&id=4282604422641898&widgetName=sp_mtf
25,Blueberry,"B40L, 40"" Acoustic Guitar Kit Inbuilt Truss Rod with Bag, Strap, One Pack Strings And Picks (Classic Brown)","₹4,295",7 Days Replacement,"FREE delivery: Saturday, May 28 Details",In Stock,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00513451NPSOUKP9NKFP&url=%2FBlueberry-Acoustic-Inbuilt-Strings-Classic%2Fdp%2FB09VLF7G2D%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dguitar%26qid%3D1653325526%26sr%3D8-22-spons%26psc%3D1&qualifier=1653325526&id=4282604422641898&widgetName=sp_mtf
26,Cort,"AD810 Dreadnought Acoustic Guitar with Gig Bag,Tuner,Picks and Strap (Natural Bundle)","₹10,150",7 Days Replacement,"FREE delivery: Saturday, May 28 Details",In Stock,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A08790022Y5TKL7GOFMBU&url=%2FCort-AD810-Dreadnought-Acoustic-Guitar%2Fdp%2FB07KMBVR6V%2Fref%3Dsr_1_23_sspa%3Fkeywords%3Dguitar%26qid%3D1653325526%26sr%3D8-23-spons%26psc%3D1%26smid%3DA2E0IZ06LXDJ9X&qualifier=1653325526&id=4282604422641898&widgetName=sp_mtf
27,SHARE,"BY Blueberry R-40- Trussrod Acoustic Guitar Kit with Bag, Strap, One Pack Strings and Picks (Natural)","₹3,990",7 Days Replacement,"FREE delivery: Saturday, May 28 Details",In Stock,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0051781CZ5EMAAQHR9T&url=%2FBlueberry-Trussrod-Acoustic-Strings-Natural%2Fdp%2FB09WLNQFC9%2Fref%3Dsr_1_24_sspa%3Fkeywords%3Dguitar%26qid%3D1653325526%26sr%3D8-24-spons%26psc%3D1&qualifier=1653325526&id=4282604422641898&widgetName=sp_mtf
28,Yamaha,"FS100C Acoustic Guitar, Black","₹9,990",7 Days Replacement,"FREE delivery: Saturday, May 28 Details",In Stock,https://www.amazon.in/Yamaha-FS-100C-6-String-Acoustic-without/dp/B00PAS9CK6/ref=sr_1_25?keywords=guitar&qid=1653325526&sr=8-25
29,Juarez,"Acoustic Guitar Kit, 38 Inch Cutaway, 38C with Bag, Strings, Pick and Strap, TBS Transparent Blue Sunburst","₹2,639",7 Days Replacement,"FREE delivery: Sunday, May 29 Details",In Stock,https://www.amazon.in/JUAREZ-JRZ38C-Acoustic-Sunburst-Strings/dp/B01FYYTDS6/ref=sr_1_26?keywords=guitar&qid=1653325526&sr=8-26
30,Medellin,"38"" Carbon Fiber Acoustic Guitar with free specailized learning course- MDCF38BK Durable Carbon Fiber Matt Pink finish Body for beginners with handrest, set of Strings, Strap, Bag, 3 Picks, Capo, Guitar Wall Hanging Stand and Free GUITAR LEARNING COURSE (Special Learning Combo with Guitar)","₹2,499",7 Days Replacement,"FREE delivery: Monday, May 30 Details",In Stock,https://www.amazon.in/Medellin-Acoustic-specailized-learning-beginners/dp/B09MSH3RY1/ref=sr_1_27?keywords=guitar&qid=1653325526&sr=8-27
31,Juarez,"Acoustic Guitar, 38 Inch Cutaway with Pick Guard, 38CPG with Bag, Strings, Pick and Strap, Black","₹2,639",7 Days Replacement,"FREE delivery: Sunday, May 29 Details",In Stock,https://www.amazon.in/Juarez-Acoustic-Guitar-Cutaway-Strings/dp/B075XMRKMY/ref=sr_1_28?keywords=guitar&qid=1653325526&sr=8-28
32,Juârez,"Acoustic Guitar, 38 Inch Cutaway, JRZ38CT, Hippie Funky Design, with Bag, Picks, Strap & Extra String set","₹2,479",7 Days Replacement,"FREE delivery: Saturday, May 28 Details",In Stock,https://www.amazon.in/Juarez-Acoustic-Guitar-Cutaway-JRZ38CT/dp/B01N3TTYJQ/ref=sr_1_29?keywords=guitar&qid=1653325526&sr=8-29
33,Kadence,"Guitar Acoustica Series A05, Electric Acoustic Guitar, Zebra Wood with Pickup, Inbuilt tuner and Bag (Zebra Wood, Electro Acoustic)","₹7,499.00",7 Days Replacement,"FREE delivery: Monday, May 30 Details",In Stock,https://www.amazon.in/Kadence-Acoustica-Acoustic-Guitar-Zebra/dp/B07KXNKLJ2/ref=sr_1_30?keywords=guitar&qid=1653325526&sr=8-30
34,Yamaha,FSX80C Semi Acoustic Cutaway Guitar with Bag (Black),"₹13,760",7 Days Replacement,"FREE delivery: Sunday, May 29 Details",In Stock,https://www.amazon.in/Yamaha-FSX80C-Acoustic-Cutaway-Guitar/dp/B09HL5WFDX/ref=sr_1_31?keywords=guitar&qid=1653325526&sr=8-31
35,JUAREZ,"JRZ38CTR/BK 38 Inch Acoustic Guitar with Dual Action Truss Rod, Bag, Picks, Allen Key, Extra String Set, Black","₹3,169",7 Days Replacement,"FREE delivery: Sunday, May 29 Details",In Stock,https://www.amazon.in/JUAREZ-JRZ38CTR-BK-Acoustic-Guitar/dp/B08FTZK7H8/ref=sr_1_32?keywords=guitar&qid=1653325526&sr=8-32
36,Kadence,"Frontier Series,Black Acoustic Guitar With Die Cast Keys Combo (Bag,strap,strings and 3 picks)","₹4,999.00",7 Days Replacement,"FREE delivery: Monday, May 30 Details",In Stock,https://www.amazon.in/Kadence-Frontier-Acoustic-Guitar-Strings/dp/B01CJJG328/ref=sr_1_33?keywords=guitar&qid=1653325526&sr=8-33
37,TOXOT,"TOYS 38 IN Right Handed Acoustic Guitar With Carry Bag & Picks | Musical Instrument Learning Toy for Kids | Humidity Proof, Bend resistance, Durable Action, Natural Tone & Bright Resonance","₹1,549",7 Days Replacement,"FREE delivery: Sunday, May 29 Details",In Stock,https://www.amazon.in/TOXOT-TOYS-Instrument-resistance-Resonance/dp/B09Z6LKP5K/ref=sr_1_34?keywords=guitar&qid=1653325526&sr=8-34
38,INTERN,"Cutaway Design Acoustic Guitar Pack -Humidity Proof body, Bend resistance, Durable Action, Natural tone & bright resonance. Blue Carbon Fibre/Fiber Guitar with Bag, Strap, Strings set, Picks","₹2,589",7 Days Replacement,"FREE delivery: Saturday, May 28 Details",In Stock,https://www.amazon.in/Cutaway-Acoustic-Humidity-resistance-resonance/dp/B09RRH7R5F/ref=sr_1_35?keywords=guitar&qid=1653325526&sr=8-35
39,Kordz,"Luana Natural Wooden 41 Inch Rosewood Fretboard Acoustic Guitar With Bag,Strap,1 Set of Extra Strings and 2 Picks","₹3,890",7 Days Replacement,"FREE delivery: Monday, May 30 Details",In Stock,https://www.amazon.in/Kordz-Luana-Natural-Rosewood-Fretboard/dp/B07V4Y1V9M/ref=sr_1_36?keywords=guitar&qid=1653325526&sr=8-36
40,JUAREZ,Acoustic Guitar 3xE 1st String & 2 Pick Set JRGSE32,₹181,7 Days Replacement,"FREE delivery: Friday, May 27 on first order.",In Stock,https://www.amazon.in/JUAREZ-Acoustic-Guitar-String-JRGSE32/dp/B08MW1WPW5/ref=sr_1_37?keywords=guitar&qid=1653325526&sr=8-37
41,Blueberry,"38C, 38"" Acoustic Guitar Kit with Bag, Strap, One Pack Strings And Picks (Black)","₹2,695",7 Days Replacement,"FREE delivery: Saturday, May 28 Details",In Stock,https://www.amazon.in/Blueberry-38C-Acoustic-Guitar-Strings/dp/B08KLMV4XX/ref=sr_1_38?keywords=guitar&qid=1653325526&sr=8-38
42,Ketostics™,"Venus Special Cutaway Rosewood 41 Inch Givson Acoustic Guitar Kit with Bag, Rhythm String Set, Strap and 5 Plectrums, (sunburst)","₹3,999",7 Days Replacement,"FREE delivery: Friday, May 27 Details",In Stock,https://www.amazon.in/Ketostics-Special-Sunburst-Acoustic-Plectrums/dp/B08JCJS3H6/ref=sr_1_39?keywords=guitar&qid=1653325526&sr=8-39
43,Neowood,"AT-01A-Guitar Tuner-Black Automatic Digital Tuner (Chromatic: Yes, Black)",₹249,7 Days Replacement,"FREE delivery: Friday, May 27 Details",In Stock,https://www.amazon.in/Neowood-AT-01A-Guitar-Tuner-Black-Automatic-Chromatic/dp/B09XHTXG97/ref=sr_1_40?keywords=guitar&qid=1653325526&sr=8-40
44,Hovner,"Carlton Special Quality Rosewood Fretboard Blue Semi Acoustic Guitar With Bag,Strap,1 Set of Extra Strings and 2 Picks By K-Retail (Blue)","₹4,490",7 Days Replacement,"FREE delivery: Monday, May 30 Details",In Stock,https://www.amazon.in/Carlton-Rosewood-Fretboard-Acoustic-K-Retail/dp/B07KK8P9VB/ref=sr_1_41?keywords=guitar&qid=1653325526&sr=8-41
45,Saga,SF-600GC-BK Grand Concert Acoustic Guitar (BLACK),"₹8,499",7 Days Replacement,"FREE delivery: Friday, May 27 Details",In Stock,https://www.amazon.in/SF-600GC-BK-Grand-Concert-Acoustic-Guitar/dp/B0B1J15J4Y/ref=sr_1_42?keywords=guitar&qid=1653325526&sr=8-42
46,Yamaha,Classical Guitar C40//02,"₹7,590",7 Days Replacement,₹700.00 delivery: June 7 - 9 Details,In Stock,https://www.amazon.in/Yamaha-Classical-Guitar-C40-02/dp/B003UGCUFE/ref=sr_1_43?keywords=guitar&qid=1653325526&sr=8-43
47,Kadence,"Frontier Series Semi Acoustic Guitar With Die Cast Keys Natural Super Combo Tuner, Capo, Bag, strap, strings and 3 picks)","₹6,799.00",7 Days Replacement,"FREE delivery: Monday, May 30 Details",In Stock,https://www.amazon.in/Kadence-Frontier-Acoustic-Equalizer-Foldable/dp/B01I50UMPO/ref=sr_1_44?keywords=guitar&qid=1653325526&sr=8-44
48,Intern,"INT-38C-SB-G Cutaway Right Handed Acoustic Guitar Kit, With Bag, Strings, Pick And Strap (Sunburst, 6 Strings)","₹2,290",7 Days Replacement,FREE delivery: May 25 - 27 Details,In Stock,https://www.amazon.in/Intern-INT-38C-SB-G-Guitar-Kit-Sunburst/dp/B07K8WLPLH/ref=sr_1_45?keywords=guitar&qid=1653325526&sr=8-45
49,Yamaha,"F280 Acoustic Guitar, Tobacco Brown Sunburst with Bajaao Gig bag","₹8,299",7 Days Replacement,"FREE delivery: Saturday, May 28 Details",In Stock,https://www.amazon.in/Yamaha-Acoustic-Tobacco-Sunburst-Bajaao/dp/B09PBDGD82/ref=sr_1_46?keywords=guitar&qid=1653325526&sr=8-46
50,Yamaha,"Acoustic Guitar F280 Dreadnought With Mexa Sponge Bag Belt,Plectrums, String Set & Guitar Stand (Natural)","₹9,389",7 Days Replacement,"FREE delivery: Sunday, May 29 Details",In Stock,https://www.amazon.in/Acoustic-F280-Dreadnought-Plectrums-Natural/dp/B092TPXZRN/ref=sr_1_47?keywords=guitar&qid=1653325526&sr=8-47
51,Kadence,"Frontier Jumbo Semi Acoustic Guitar With Die Cast Keys,Super Combo (Bag, 1 pack Strings, Strap, Picks, Capo, Tuner)","₹7,349.00",7 Days Replacement,"FREE delivery: Saturday, May 28 Details",In Stock,https://www.amazon.in/Kadence-Frontier-Acoustic-Guitar-Equalizer/dp/B01HRIHJWY/ref=sr_1_48?keywords=guitar&qid=1653325526&sr=8-48
52,Givson,"Venus Special Cutaway Rosewood 41 Inch Acoustic Guitar Kit with Bag, Rhythm String Set, Strap and 5 Plectrums, (BLACK)","₹4,199",7 Days Replacement,"FREE delivery: Friday, May 27 Details",In Stock,https://www.amazon.in/Special-Cutaway-Rosewood-Acoustic-Plectrums/dp/B09P3YBN48/ref=sr_1_49?keywords=guitar&qid=1653325526&sr=8-49
53,Givson,"Ketostics Venus Special VS-BLK, Acoustic Guitar Combo with Cover/Bag, String Set, Belt and Picks","₹4,199",7 Days Replacement,"FREE delivery: Friday, May 27 Details",In Stock,https://www.amazon.in/GIVSON-KETOSTICS-VS-BLK-Strings-Acoustic/dp/B07R9ZLSNL/ref=sr_1_50?keywords=guitar&qid=1653325526&sr=8-50
54,Kadence,"Guitar Frontier Series, Electric Acoustic Black Guitar With EQ, Die Cast Keys, Set of Strings, Strap, Picks and Bag (Black EQ, Electric Acoustic)","₹5,499.00",7 Days Replacement,"FREE delivery: Monday, May 30 Details",In Stock,https://www.amazon.in/Kadence-Frontier-Acoustic-Guitar-Strings/dp/B078GTJP5Y/ref=sr_1_52?keywords=guitar&qid=1653325526&smid=AM04Z7MH4HSDD&sr=8-52
55,Intern,"INT-38C Acoustic Guitar Kit, With Bag, Strings, Pick And Strap, Red","₹2,350",7 Days Replacement,FREE delivery: May 25 - 27 Details,In Stock,https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Kit/dp/B073B6TF31/ref=sr_1_53?keywords=guitar&qid=1653325526&sr=8-53
56,JUAREZ,"Arpéggio 104.14 cm (41 Inch) Semi-Acoustic Guitar Kit, Thin Line Body, Spruce Top, with 4 Band EQ, Natural","₹6,649",7 Days Replacement,"FREE delivery: Saturday, May 28 Details",In Stock,https://www.amazon.in/JUAREZ-Arp%C3%A9ggio-Semi-Acoustic-Guitar-Natural/dp/B08KHFJKZK/ref=sr_1_54?keywords=guitar&qid=1653325526&sr=8-54
